subclone_1,subclone_2,total_tumor,days
3450.634330863384,215.4886033236529,3666.122934187037,175
3345.4795414707824,209.38303456673694,3554.8625760375194,176
3244.391179568437,203.52422150113057,3447.9154010695675,177
3147.188717466337,197.9000612429627,3345.0887787092997,178
3053.700824279968,192.49901043288372,3246.1998347128515,179
2963.7653659303187,187.31008523606567,3151.0754511663845,180
2877.229405143876,182.32286134220223,3059.552266486078,181
2793.9492014526286,177.52747396550853,2971.4766754181373,182
2713.7902111940616,172.9146178447214,2886.704829038783,183
2636.627087511163,168.47554724309924,2805.1026347542625,184
2562.34368035242,164.20207594842196,2726.545756300842,185
2490.8330364718195,160.08657727299115,2650.9196137448107,186
2421.997399428847,156.12198405363006,2578.119383482477,187
2355.748209588492,152.30178865168327,2508.0499982401752,188
2292.0061041212375,148.62004295301725,2440.6261470742547,189
2230.700917003072,145.0713583680198,2375.772275371092,190
2171.77167901548,141.6509058316004,2313.4225848470805,191
2115.149925821111,138.35404598344,2253.503971804551,192
2060.605665313267,135.17296279976384,2195.7786281130307,193
2008.0180500137658,132.10256372726,2140.120613741026,194
1957.312494150695,129.13885488499173,2086.4513490356867,195
1908.4165040779365,126.2779430401559,2034.6944471180923,196
1861.2596782751662,123.51603560808267,1984.7757138832487,197
1815.7737073478543,120.84944065223573,1936.62314800009,198
1771.8923740272662,118.27456688421216,1890.1669409114784,199
1729.5515531704607,115.78792366374255,1845.3394768342032,200
1688.689211760292,113.38612099869087,1802.0753327589828,201
1649.2454089054086,111.06586954505457,1760.311278450463,202
1611.1622958402527,108.82398060696453,1719.9862764472173,203
1574.384115925062,106.65736613668508,1681.041482061747,204
1538.8572046458671,104.56303873461403,1643.4202433804812,205
1504.5299896144952,102.53811164928257,1607.0681012637779,206
1471.3529905685664,100.57979877735532,1571.9327893459217,207
1439.2788193714955,98.68541466363048,1537.964234035126,208
1408.262180012492,96.85237450103955,1505.1145545135316,209
1378.2598686065598,95.0781941306475,1473.3380627372073,210
1349.2307733944967,93.36049004165282,1442.5912634361496,211
1321.1358747428962,91.6969793713874,1412.8328541142837,212
1293.9382451441447,90.08547990531652,1384.0237250494613,213
1267.6030492164243,88.52391007703899,1356.1269592934634,214
1242.097543703711,87.01028896828703,1329.107832671998,215
1217.3910774757753,85.5427363089263,1302.9338137847017,216
1193.455091528182,84.11947247695589,1277.574564005138,217
1170.2631189822905,82.73881849850837,1253.001937480799,218
