subclone_1,subclone_2,subclone_3,total_tumor,days
439707.4047293195,0.03192280501568656,6180.56902401526,445888.0056761398,260
443256.20858877554,0.031442763036715754,6087.550354843648,449343.79038638226,261
446832.3495258337,0.03097205534250957,5996.304724024236,452828.68522191327,262
450436.0159140157,0.030510098522933314,5906.803544288803,456342.849968403,263
454067.39706967346,0.030056357667585666,5819.018570526183,459886.4456965573,264
457726.68325198896,0.029610346365798672,5732.921899782281,463459.6347621176,265
461414.0656629742,0.029171626706637782,5648.485971260056,467062.580805861,266
465129.7364474715,0.02873980927890182,5565.683566319536,470695.4487536003,267
468873.888693153,0.02831455317112299,5484.4878084778065,474358.40481618396,268
472646.71643052105,0.027895565971566873,5404.872163409018,478051.616489496,269
476448.41463290824,0.027482603768232444,5326.810438944383,481775.2525544564,270
480279.1792164771,0.027075471148852056,5250.276785072175,485529.4830770204,271
484139.20704022015,0.02667402120089145,5175.245693937731,489314.4794081791,272
488028.6959059603,0.026278155511549724,5101.69199984345,493130.41418395925,273
491947.84455835033,0.025887824167759393,5029.5908792487935,496977.4613254233,274
495896.8526848733,0.025503025756186334,4958.917850770282,500855.7960386693,275
499875.92091584206,0.02512380736322981,4889.648775181506,504765.5948148309,276
503885.2508244,0.024750264575022465,4821.759855413112,508707.0354300777,277
507925.0449265202,0.02438254147743033,4755.227636552809,512680.2969456145,278
511995.50668100605,0.024020830656052816,4690.02900584537,516685.55970768206,279
516096.84048949095,0.023665373196222715,4626.14119269263,520723.0053475568,280
520229.2516964385,0.0233164586830062,4563.541768653488,524792.8167815506,281
524392.9465891423,0.02297442520120283,4502.208647443902,528895.1782110115,282
528588.1323977262,0.022639659335345536,4442.120084936895,533030.2751223224,283
532815.0172951439,0.02231259616970065,4383.25467916255,537198.2942869026,284
537073.8103971793,0.021993719288267877,4325.591370308012,541399.4237612066,285
541364.7217624466,0.0216835607747803,4269.109440717493,545633.8528867249,286
545687.9623923898,0.021382701212704382,4213.788514892263,549901.7722899832,287
550043.7442312831,0.021091769685239983,4159.608559490655,554203.3738825434,288
554432.2801662309,0.020811443775320328,4106.549883328065,558538.8508610027,289
558853.7840271676,0.02054244956561204,4054.593137376951,562908.3977069941,290
563308.4705868576,0.02028556163851511,4003.719314766833,567312.2101871861,291
567796.5555608957,0.02004160307616292,3953.9097507842926,571750.4853532831,292
572318.2556077066,0.019811445460422232,3905.146122872976,576223.421542025,293
576873.7874196882,0.019595082175789615,3857.4069390072978,580731.2139537777,294
581463.3618881474,0.019384985633934145,3810.6427675843534,585274.0240407174,295
586087.1974049159,0.019179219390362143,3764.8263455164206,589852.0429296517,296
590745.5149221041,0.018977686010197708,3719.9377749638406,594465.4716747539,297
595438.5360240579,0.018780289615032683,3675.957495520439,599114.5122998679,298
600166.482927359,0.018586935882926658,3632.8662842135277,603799.3677985084,299
604929.5784808242,0.018397532048406978,3590.645255503906,608520.2421338602,300
609728.0461655067,0.018211986902468728,3549.275861285856,613277.3402387794,301
614562.1100946943,0.018030210792574743,3508.7398908871487,618070.8680157922,302
619431.9950139108,0.017852115622655606,3469.019471069039,622901.0323370955,303
624337.9263009157,0.017677614853109647,3430.0970660262683,627768.0410445568,304
629280.1299657035,0.017506623500802947,3391.955477387064,632672.102949714,305
634258.8326505047,0.01733905813906933,3354.5778442131386,637613.4278337759,306
639274.2616297853,0.017174836897710374,3317.947642999692,642592.226447622,307
644326.6448102467,0.017013879462995395,3282.0486876754076,647608.7105118015,308
649416.2107308258,0.016856107077661466,3246.8651296024564,652663.0927165353,309
654543.1885626953,0.016701442540913408,3212.3814575764954,657755.5867217144,310
659707.8081092632,0.01654981020842378,3178.582497826666,662886.4071569,311
664910.2998061732,0.016401135992332897,3145.4534140155965,668055.7696213247,312
670150.8947213043,0.016255347361248822,3112.9797072394003,673263.8906838911,313
675429.8245547713,0.01611237334024736,3081.147216027679,678510.9878831723,314
680747.3216389245,0.015972144510872074,3049.9421163435154,683797.2797274126,315
686103.6189383499,0.01583459301113426,3019.350921583483,689122.9856945263,316
691498.9500498683,0.015699652535512976,2989.360482577638,694488.3262320984,317
696933.5492025372,0.015567258334955016,2959.957987589524,699893.522757385,318
702407.6512576485,0.015437347216874932,2931.130962316169,705338.7976573119,319
707921.4917087305,0.015309857545155018,2902.8672698880887,710824.3742884761,320
713475.3066815466,0.015184729240145318,2875.155110869284,716350.4769771452,321
719069.3329340959,0.015061903778663618,2847.9830232572403,721917.3310192568,322
724703.8078566128,0.014941324193995461,2821.33988248293,727525.16268042,323
730378.9694715678,0.014822935075894134,2795.2149014108118,733174.1991959137,324
736095.0564336663,0.014706682570580668,2769.5976303388293,738864.6687706877,325
741852.3080298497,0.014592514380743845,2744.477956998412,744596.8005793624,326
747650.9641792946,0.014480379765540197,2719.846106554476,750370.8247662289,327
