subclone_1,subclone_2,subclone_3,subclone_4,total_tumor,days
44520.6813254835,1670.0823913639424,0.0,0.03541828885357297,46190.799135136294,241
44848.53821738668,1645.1486004169058,0.0,0.03459673629783768,46493.72141453988,242
45178.7991429104,1620.820879465887,0.0,0.0337975260594907,46799.65381990235,243
45511.48157872075,1597.081980615505,0.0,0.03301968754510476,47108.5965790238,244
45846.60313039062,1573.915195169238,0.0,0.0322623204740189,47420.55058788034,245
46184.18153239968,1551.304353629419,0.0,0.03152459487833853,47735.51741062398,246
46524.2346481344,1529.2338256972403,0.0,0.03080575110293537,48053.49927958275,247
46866.78046988803,1507.6885202727512,0.0,0.030105099805447504,48374.49909526058,248
47211.8371188606,1486.6538854548576,0.0,0.029422021956279333,48698.52042633742,249
47559.42284515896,1466.1159085413233,0.0,0.028755968838601632,49025.56750966912,250
47909.55602779671,1446.0611160287692,0.0,0.028106462048351467,49355.645250287525,251
48262.25517469426,1426.4765736126742,0.0,0.027473093494232288,49688.759221400425,252
48617.538922678825,1407.3498861873732,0.0,0.026855525397713843,50024.9156643916,253
48975.42603748436,1388.6691978460594,0.0,0.026253490293032263,50364.12148882071,254
49335.935413751664,1370.4231918807836,0.0,0.025666791027189995,50706.38427242348,255
49699.08607502828,1352.6010907824534,0.0,0.025095300759955804,51051.7122611115,256
50064.89717376857,1335.1926562408335,0.0,0.02453896296386485,51400.11436897237,257
50433.38799133367,1318.1881891445464,0.0,0.023997791424218578,51751.60017826964,258
50804.57793799151,1301.5785295810722,0.0,0.023471870239084803,52106.17993944282,259
51178.48655291682,1285.3550568367473,0.0,0.02296135381929765,52463.864571107384,260
51555.13350419108,1269.5096893967661,0.0,0.022466466888457656,52824.66566005473,261
51934.5385888026,1254.0348849451811,0.0,0.021987504482931578,53188.59546125227,262
52316.72173264647,1238.9236403649004,0.0,0.02152483195185263,53555.666897843315,263
52701.70299052455,1224.1694917376908,0.0,0.021078884957120292,53925.8935611472,264
53089.50254614551,1209.7665143441764,0.0,0.020650169473400412,54299.289710659155,265
53480.14078836036,1195.7066872208254,0.0,0.020238350538031042,54675.86771393172,266
53873.638631013455,1181.9675730664296,0.0,0.01983804049507102,55055.626042120384,267
54270.016738895596,1168.5387443786537,0.0,0.01944799953447474,55438.57493127378,268
54669.29585642155,1155.4126318447452,0.0,0.019067932233806123,55824.72755619853,269
55071.4968904817,1142.5818241627358,0.0,0.01869754978669817,56214.09741219422,270
55476.640910442045,1130.0390680414428,0.0,0.01833657000285295,56606.69831505349,271
55884.7491481442,1117.7772682004668,0.0,0.01798471730804162,57002.54440106197,272
56295.8429979054,1105.7894873701935,0.0,0.017641722744104405,57401.650126998335,273
56709.94401651849,1094.0689462917933,0.0,0.017307323968950607,57804.03027013426,274
57127.07392325195,1082.609023717221,0.0,0.016981265256558607,58209.69992823442,275
57547.254599849846,1071.4032564092151,0.0,0.016663297496975857,58618.67451955655,276
57970.508090531875,1060.4453391412999,0.0,0.01635317819631889,59030.96978285137,277
58396.856601993364,1049.7291246977832,0.0,0.016050671476773318,59446.60177736262,278
58826.32250340524,1039.2486238737579,0.0,0.015755548076593823,59865.58688282707,279
59258.92832641405,1028.998005475101,0.0,0.01546758535010416,60287.941799474494,280
59694.69676514194,1018.9715963184746,0.0,0.015186567267697173,60713.68354802768,281
60133.65067618672,1009.1638812313245,0.0,0.01491228441583477,61142.82946970246,282
60575.81307862176,999.5695030518815,0.0,0.014644533997047944,61575.39722620764,283
61021.20715399609,990.1832626291608,0.0,0.014383119829936756,62011.404799745076,284
61469.85624633432,981.0001188229623,0.0,0.014127852349170349,62450.870493009636,285
61921.78386213671,972.0151885038701,0.0,0.013878548605486941,62893.81292918919,286
62377.01367037912,963.223746553253,0.0,0.013635032265693825,63340.25105196464,287
62835.569502513026,954.6212258632644,0.0,0.01339713361266737,63790.2041255099,288
63297.475352465524,946.2032173368418,0.0,0.013164689545353023,64243.69173449191,289
63762.75537663932,937.9654698877075,0.0,0.01293754357876531,64700.7337840706,290
64231.433893912734,929.9038904403683,0.0,0.012715545843987822,65161.35049989895,291
64703.53538563973,922.0145439301156,0.0,0.012498553088173237,65625.56242812292,292
65179.08449564983,914.293653303025,0.0,0.012286428674543309,66093.39043538153,293
65658.10603024825,906.7375995159571,0.0,0.012079042582388863,66564.85570880679,294
66140.62495821576,899.3429215365564,0.0,0.011876271407069799,67039.97975602373,295
66626.66651013044,892.1060324200962,0.0,0.011676212805387744,67518.78421876334,296
67116.25636164995,885.0225132189577,0.0,0.011472565844184773,68001.29034743475,297
67609.41996942928,878.0889623965103,0.0,0.011267004460321058,68487.52019883024,298
68106.1829409098,871.3021632359643,0.0,0.011061888082946534,68977.49616603384,299
68606.57108107806,864.6589617004545,0.0,0.010859384336225537,69471.24090216284,300
69110.6103924657,858.1562664330401,0.0,0.010661469039336808,69968.7773203678,301
69618.32707514953,851.7910487567046,0.0,0.010469926206473487,70470.12859383243,302
70129.74752675145,845.5603426743564,0.0,0.01028634804684312,70975.31815577386,303
70644.89834243851,839.4612448688279,0.0,0.010112134964667658,71484.3696994423,304
71163.80631492284,833.4909147028761,0.0,0.009948495559183455,71997.30717812128,305
71686.49843446178,827.6465742191826,0.0,0.009796446624641261,72514.15480512759,306
72213.00188885773,821.9255081403534,0.0,0.009656813150306236,73034.93705381124,307
72743.34406345822,816.3250638689187,0.0,0.009530228320457945,73559.67865755546,308
73277.55254115596,810.8426514873336,0.0,0.009417133514390347,74088.4046097768,309
73815.65510238874,805.4757437579773,0.0,0.009317778306411815,74621.14016392504,310
74357.67972513947,800.2218761231536,0.0,0.009232220465845114,75157.9108334831,311
74903.65458493624,795.0786467050907,0.0,0.009160325957027421,75698.74239196729,312
75453.60805485221,790.0437163059414,0.0,0.009101768939310313,76243.6608729271,313
76007.5687055057,785.1148084077829,0.0,0.009056031767059769,76792.69256994525,314
76565.56530506015,780.2897091726168,0.0,0.009022404989656172,77345.86403663777,315
77127.62681922413,775.566267442369,0.0,0.008999987351494307,77903.20208665384,316
77693.78241125133,770.9423947388902,0.0,0.008987685791983367,78464.73379367602,317
78264.06144194056,766.4160652639555,0.0,0.00898421544554694,79030.48649141996,318
78838.49346963577,761.9853158992643,0.0,0.008988099641623021,79600.48777363467,319
79417.10825022605,757.6482462064403,0.0,0.008997669904664014,80174.76549410241,320
79999.93573714558,753.4030184270321,0.0,0.009011065954136716,80753.34776663857,321
80587.00608137372,749.2478574825126,0.0,0.00902623570452233,81336.26296509194,322
