subclone_1,subclone_2,subclone_3,subclone_4,subclone_5,total_tumor,days
1407.2181196431995,30781.62040696969,10639.611114520625,0.0,6395.329811661738,49223.77945279525,229
1411.9625308799605,30682.389371344307,10463.531254473073,0.0,6351.230933952478,48909.11409064982,230
1416.7230871753868,30581.96877440074,10290.665456806244,0.0,6307.345627877557,48596.702946259924,231
1421.4998428917831,30480.373380395053,10120.961562379955,0.0,6263.677781392204,48286.51256705899,232
1426.2928525887096,30377.618288271442,9954.368680517424,0.0,6220.231157325308,47978.510978702885,233
1431.1021710229816,30273.718931662243,9790.83718900528,0.0,6177.009393379412,47672.667685069915,234
1435.9278531486711,30168.691078887925,9630.318734093571,0.0,6134.016002130713,47368.953668260874,235
1440.769954117105,30062.550832957095,9472.766230495745,0.0,6091.2543710290665,47067.341388599016,236
1445.6285292768662,29955.31463156648,9318.133861388664,0.0,6048.727762397984,46767.804784629996,237
1450.5036341737932,29846.999247100972,9166.377078412592,0.0,6006.439313434631,46470.31927312199,238
1455.3953245509801,29737.62178663357,9017.452601671223,0.0,5964.392036209831,46174.8617490656,239
1460.303656348777,29627.199691925416,8871.318419731639,0.0,5922.58881766806,45881.41058567389,240
1465.228685704789,29515.750739425792,8727.93378962434,0.0,5881.032419627454,45589.94563438237,241
1470.1704689538776,29403.293040272118,8587.259236843238,0.0,5839.725478779804,45300.44822484904,242
1475.1290626281595,29289.84504028994,8449.256555345659,0.0,5798.670506690552,45012.90116495431,243
1480.1045234570074,29175.42551999294,8313.888807552326,0.0,5757.869889798805,44727.28874080108,244
1485.0969083670493,29060.053594582943,8181.120324347381,0.0,5717.325889417317,44443.596716714696,245
1490.106274482169,28943.748713949903,8050.916705078371,0.0,5677.040641732503,44161.81233524294,246
